#{"t_start": 1684971722.337979, "env_id": "CarRacing-v2"}
r,l,t
-48.905109,1000,28.318562
-54.225352,1000,59.199811
-49.494949,1000,124.968011
-51.140065,1000,160.381227
-36.908517,1000,224.246047
-25.795053,1000,259.04723
-35.064935,1000,329.530321
-20.415225,1000,366.300199
-51.219512,1000,430.316274
-47.368421,1000,469.327514
30.434783,1000,543.733689
-70.29703,1000,582.587352
-10.958904,1000,654.392492
-17.562724,1000,698.173325
-57.142857,1000,770.33584
-54.397394,1000,806.284178
-32.384342,1000,870.998018
57.534247,1000,905.987411
-46.666667,1000,988.838134
-55.32646,1000,1037.798045
-8.424908,1000,1127.227207
-5.882353,1000,1172.45226
-38.566553,1000,1264.076648
-33.774834,1000,1305.213802
-56.375839,1000,1382.453264
-12.587413,1000,1426.131574
